Name	Group	Profile	Enabled	Action	Override	Program	Local Address	Remote Address	Protocol	Local Port	Remote Port	Authorized Users	Authorized Computers	Authorized Local Principals	Local User Owner	PolicyAppId	Application Package	
Remote Desktop - User Mode (UDP-In)	Remote Desktop	All	Yes	Block	No	%SystemRoot%\system32\svchost.exe	Any	Any	UDP	3389	Any	Any	Any	Any	Any	None	Any	
Remote Desktop - (TCP-WS-In)	Remote Desktop (WebSocket)	All	Yes	Block	No	System	Any	Any	TCP	3387	Any	Any	Any	Any	Any	None	Any	
Remote Desktop - (TCP-WSS-In)	Remote Desktop (WebSocket)	All	Yes	Block	No	System	Any	Any	TCP	3392	Any	Any	Any	Any	Any	None	Any	
Remote Event Log Management (NP-In)	Remote Event Log Management	Domain	Yes	Block	No	System	Any	Any	TCP	445	Any	Any	Any	Any	Any	None	Any	
Remote Event Log Management (NP-In)	Remote Event Log Management	Private, Public	Yes	Block	No	System	Any	Local subnet	TCP	445	Any	Any	Any	Any	Any	None	Any	
Remote Event Log Management (RPC)	Remote Event Log Management	Domain	Yes	Block	No	%SystemRoot%\system32\svchost.exe	Any	Any	TCP	RPC Dynamic Ports	Any	Any	Any	Any	Any	None	Any	
Remote Event Log Management (RPC)	Remote Event Log Management	Private, Public	Yes	Block	No	%SystemRoot%\system32\svchost.exe	Any	Local subnet	TCP	RPC Dynamic Ports	Any	Any	Any	Any	Any	None	Any	
Remote Event Log Management (RPC-EPMAP)	Remote Event Log Management	Domain	Yes	Block	No	%SystemRoot%\system32\svchost.exe	Any	Any	TCP	RPC Endpoint Mapper	Any	Any	Any	Any	Any	None	Any	
Remote Event Log Management (RPC-EPMAP)	Remote Event Log Management	Private, Public	Yes	Block	No	%SystemRoot%\system32\svchost.exe	Any	Local subnet	TCP	RPC Endpoint Mapper	Any	Any	Any	Any	Any	None	Any	
Remote Event Monitor (RPC)	Remote Event Monitor	All	Yes	Block	No	%SystemRoot%\system32\NetEvtFwdr.exe	Any	Any	TCP	RPC Dynamic Ports	Any	Any	Any	Any	Any	None	Any	
Remote Event Monitor (RPC-EPMAP)	Remote Event Monitor	All	Yes	Block	No	%SystemRoot%\system32\svchost.exe	Any	Any	TCP	RPC Endpoint Mapper	Any	Any	Any	Any	Any	None	Any	
Remote Scheduled Tasks Management (RPC)	Remote Scheduled Tasks Management	Domain	Yes	Block	No	%SystemRoot%\system32\svchost.exe	Any	Any	TCP	RPC Dynamic Ports	Any	Any	Any	Any	Any	None	Any	
Remote Scheduled Tasks Management (RPC)	Remote Scheduled Tasks Management	Private, Public	Yes	Block	No	%SystemRoot%\system32\svchost.exe	Any	Local subnet	TCP	RPC Dynamic Ports	Any	Any	Any	Any	Any	None	Any	
Remote Scheduled Tasks Management (RPC-EPMAP)	Remote Scheduled Tasks Management	Domain	Yes	Block	No	%SystemRoot%\system32\svchost.exe	Any	Any	TCP	RPC Endpoint Mapper	Any	Any	Any	Any	Any	None	Any	
Remote Scheduled Tasks Management (RPC-EPMAP)	Remote Scheduled Tasks Management	Private, Public	Yes	Block	No	%SystemRoot%\system32\svchost.exe	Any	Local subnet	TCP	RPC Endpoint Mapper	Any	Any	Any	Any	Any	None	Any	
Remote Service Management (NP-In)	Remote Service Management	Domain	Yes	Block	No	System	Any	Any	TCP	445	Any	Any	Any	Any	Any	None	Any	
Remote Service Management (NP-In)	Remote Service Management	Private, Public	Yes	Block	No	System	Any	Local subnet	TCP	445	Any	Any	Any	Any	Any	None	Any	
Remote Service Management (RPC)	Remote Service Management	Domain	Yes	Block	No	%SystemRoot%\system32\services.exe	Any	Any	TCP	RPC Dynamic Ports	Any	Any	Any	Any	Any	None	Any	
Remote Service Management (RPC)	Remote Service Management	Private, Public	Yes	Block	No	%SystemRoot%\system32\services.exe	Any	Local subnet	TCP	RPC Dynamic Ports	Any	Any	Any	Any	Any	None	Any	
Remote Service Management (RPC-EPMAP)	Remote Service Management	Domain	Yes	Block	No	%SystemRoot%\system32\svchost.exe	Any	Any	TCP	RPC Endpoint Mapper	Any	Any	Any	Any	Any	None	Any	
Remote Service Management (RPC-EPMAP)	Remote Service Management	Private, Public	Yes	Block	No	%SystemRoot%\system32\svchost.exe	Any	Local subnet	TCP	RPC Endpoint Mapper	Any	Any	Any	Any	Any	None	Any	
Inbound Rule for Remote Shutdown (RPC-EP-In)	Remote Shutdown	All	Yes	Block	No	%systemroot%\system32\wininit.exe	Any	Any	TCP	RPC Endpoint Mapper	Any	Any	Any	Any	Any	None	Any	
Inbound Rule for Remote Shutdown (TCP-In)	Remote Shutdown	All	Yes	Block	No	%systemroot%\system32\wininit.exe	Any	Any	TCP	RPC Dynamic Ports	Any	Any	Any	Any	Any	None	Any	
Remote Volume Management - Virtual Disk Service (RPC)	Remote Volume Management	Domain	Yes	Block	No	%SystemRoot%\system32\vds.exe	Any	Any	TCP	RPC Dynamic Ports	Any	Any	Any	Any	Any	None	Any	
Remote Volume Management - Virtual Disk Service (RPC)	Remote Volume Management	Private, Public	Yes	Block	No	%SystemRoot%\system32\vds.exe	Any	Local subnet	TCP	RPC Dynamic Ports	Any	Any	Any	Any	Any	None	Any	
Remote Volume Management - Virtual Disk Service Loader (RPC)	Remote Volume Management	Domain	Yes	Block	No	%SystemRoot%\system32\vdsldr.exe	Any	Any	TCP	RPC Dynamic Ports	Any	Any	Any	Any	Any	None	Any	
Remote Volume Management - Virtual Disk Service Loader (RPC)	Remote Volume Management	Private, Public	Yes	Block	No	%SystemRoot%\system32\vdsldr.exe	Any	Local subnet	TCP	RPC Dynamic Ports	Any	Any	Any	Any	Any	None	Any	
Remote Volume Management (RPC-EPMAP)	Remote Volume Management	Private, Public	Yes	Block	No	%SystemRoot%\system32\svchost.exe	Any	Local subnet	TCP	RPC Endpoint Mapper	Any	Any	Any	Any	Any	None	Any	
Remote Volume Management (RPC-EPMAP)	Remote Volume Management	Domain	Yes	Block	No	%SystemRoot%\system32\svchost.exe	Any	Any	TCP	RPC Endpoint Mapper	Any	Any	Any	Any	Any	None	Any	
Routing and Remote Access (GRE-In)	Routing and Remote Access	All	Yes	Block	No	System	Any	Any	GRE	Any	Any	Any	Any	Any	Any	None	Any	
Routing and Remote Access (L2TP-In)	Routing and Remote Access	All	Yes	Block	No	System	Any	Any	UDP	1701	Any	Any	Any	Any	Any	None	Any	
Routing and Remote Access (PPTP-In)	Routing and Remote Access	All	Yes	Block	No	System	Any	Any	TCP	1723	Any	Any	Any	Any	Any	None	Any	
Secure Socket Tunneling Protocol (SSTP-In)	Secure Socket Tunneling Protocol	All	No	Allow	No	System	Any	Any	TCP	443	Any	Any	Any	Any	Any	None	Any	
SNMP Trap Service (UDP In)	SNMP Trap	Private, Public	Yes	Block	No	%SystemRoot%\system32\snmptrap.exe	Any	Local subnet	UDP	162	Any	Any	Any	Any	Any	None	Any	
SNMP Trap Service (UDP In)	SNMP Trap	Domain	Yes	Block	No	%SystemRoot%\system32\snmptrap.exe	Any	Any	UDP	162	Any	Any	Any	Any	Any	None	Any	
TPM Virtual Smart Card Management (DCOM-In)	TPM Virtual Smart Card Management	Private, Public	Yes	Block	No	%SystemRoot%\system32\svchost.exe	Any	Local subnet	TCP	135	Any	Any	Any	Any	Any	None	Any	
TPM Virtual Smart Card Management (DCOM-In)	TPM Virtual Smart Card Management	Domain	Yes	Block	No	%SystemRoot%\system32\svchost.exe	Any	Any	TCP	135	Any	Any	Any	Any	Any	None	Any	
TPM Virtual Smart Card Management (TCP-In)	TPM Virtual Smart Card Management	Private, Public	Yes	Block	No	%SystemRoot%\system32\RmtTpmVscMgrSvr.exe	Any	Local subnet	TCP	Any	Any	Any	Any	Any	Any	None	Any	
TPM Virtual Smart Card Management (TCP-In)	TPM Virtual Smart Card Management	Domain	Yes	Block	No	%SystemRoot%\system32\RmtTpmVscMgrSvr.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
Virtual Machine Monitoring (DCOM-In)	Virtual Machine Monitoring	All	Yes	Block	No	%SystemRoot%\system32\svchost.exe	Any	Any	TCP	135	Any	Any	Any	Any	Any	None	Any	
Virtual Machine Monitoring (Echo Request - ICMPv4-In)	Virtual Machine Monitoring	All	Yes	Block	No	System	Any	Any	ICMPv4	Any	Any	Any	Any	Any	Any	None	Any	
Virtual Machine Monitoring (Echo Request - ICMPv6-In)	Virtual Machine Monitoring	All	Yes	Block	No	System	Any	Any	ICMPv6	Any	Any	Any	Any	Any	Any	None	Any	
Virtual Machine Monitoring (NB-Session-In)	Virtual Machine Monitoring	All	Yes	Block	No	System	Any	Any	TCP	139	Any	Any	Any	Any	Any	None	Any	
Virtual Machine Monitoring (RPC)	Virtual Machine Monitoring	All	Yes	Block	No	%SystemRoot%\system32\svchost.exe	Any	Any	TCP	RPC Dynamic Ports	Any	Any	Any	Any	Any	None	Any	
Wi-Fi Direct Network Discovery (In)	Wi-Fi Direct Network Discovery	Public	Yes	Block	No	%SystemRoot%\system32\dashost.exe	Any	Any	Any	Any	Any	Any	Any	S-1-5-92-3339056971-1291069075-3798698925-2882100687-0	Any	None	Any	
Wi-Fi Direct Scan Service Use (In)	Wi-Fi Direct Network Discovery	Public	Yes	Block	No	%SystemRoot%\system32\svchost.exe	Any	Any	Any	Any	Any	Any	Any	Any	Any	None	Any	
Wi-Fi Direct Spooler Use (In)	Wi-Fi Direct Network Discovery	Public	Yes	Block	No	%SystemRoot%\system32\spoolsv.exe	Any	Any	Any	Any	Any	Any	Any	Any	Any	None	Any	
Windows Clock	Windows Clock	Domain, Private	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	Any	DESKTOP-AMT4E7R\Commistun	None	microsoft.windowsalarms_8wekyb3d8bbwe	
Windows Collaboration Computer Name Registration Service (PNRP-In)	Windows Collaboration Computer Name Registration Service	All	Yes	Block	No	%SystemRoot%\system32\svchost.exe	Any	Any	UDP	3540	Any	Any	Any	Any	Any	None	Any	
Windows Collaboration Computer Name Registration Service (SSDP-In)	Windows Collaboration Computer Name Registration Service	All	Yes	Block	No	%SystemRoot%\system32\svchost.exe	Any	Local subnet	UDP	1900	Any	Any	Any	Any	Any	None	Any	
Windows Defender Firewall Remote Management (RPC)	Windows Defender Firewall Remote Management	Domain	Yes	Block	No	%SystemRoot%\system32\svchost.exe	Any	Any	TCP	RPC Dynamic Ports	Any	Any	Any	Any	Any	None	Any	
Windows Defender Firewall Remote Management (RPC)	Windows Defender Firewall Remote Management	Private, Public	Yes	Block	No	%SystemRoot%\system32\svchost.exe	Any	Local subnet	TCP	RPC Dynamic Ports	Any	Any	Any	Any	Any	None	Any	
Windows Defender Firewall Remote Management (RPC-EPMAP)	Windows Defender Firewall Remote Management	Private, Public	Yes	Block	No	%SystemRoot%\system32\svchost.exe	Any	Local subnet	TCP	RPC Endpoint Mapper	Any	Any	Any	Any	Any	None	Any	
Windows Defender Firewall Remote Management (RPC-EPMAP)	Windows Defender Firewall Remote Management	Domain	Yes	Block	No	%SystemRoot%\system32\svchost.exe	Any	Any	TCP	RPC Endpoint Mapper	Any	Any	Any	Any	Any	None	Any	
Windows Management Instrumentation (ASync-In)	Windows Management Instrumentation (WMI)	Private, Public	Yes	Block	No	%systemroot%\system32\wbem\unsecapp.exe	Any	Local subnet	TCP	Any	Any	Any	Any	Any	Any	None	Any	
Windows Management Instrumentation (ASync-In)	Windows Management Instrumentation (WMI)	Domain	Yes	Block	No	%systemroot%\system32\wbem\unsecapp.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
Windows Management Instrumentation (DCOM-In)	Windows Management Instrumentation (WMI)	Domain	Yes	Block	No	%SystemRoot%\system32\svchost.exe	Any	Any	TCP	135	Any	Any	Any	Any	Any	None	Any	
Windows Management Instrumentation (DCOM-In)	Windows Management Instrumentation (WMI)	Private, Public	Yes	Block	No	%SystemRoot%\system32\svchost.exe	Any	Local subnet	TCP	135	Any	Any	Any	Any	Any	None	Any	
Windows Management Instrumentation (WMI-In)	Windows Management Instrumentation (WMI)	Private, Public	Yes	Block	No	%SystemRoot%\system32\svchost.exe	Any	Local subnet	TCP	Any	Any	Any	Any	Any	Any	None	Any	
Windows Management Instrumentation (WMI-In)	Windows Management Instrumentation (WMI)	Domain	Yes	Block	No	%SystemRoot%\system32\svchost.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
Windows Peer to Peer Collaboration Foundation (PNRP-In)	Windows Peer to Peer Collaboration Foundation	All	Yes	Block	No	%SystemRoot%\system32\svchost.exe	Any	Any	UDP	3540	Any	Any	Any	Any	Any	None	Any	
Windows Peer to Peer Collaboration Foundation (SSDP-In)	Windows Peer to Peer Collaboration Foundation	All	Yes	Block	No	%SystemRoot%\system32\svchost.exe	Any	Local subnet	UDP	1900	Any	Any	Any	Any	Any	None	Any	
Windows Remote Management (HTTP-In)	Windows Remote Management	Domain, Private	Yes	Block	No	System	Any	Any	TCP	5985	Any	Any	Any	Any	Any	None	Any	
Windows Remote Management (HTTP-In)	Windows Remote Management	Public	Yes	Block	No	System	Any	Local subnet	TCP	5985	Any	Any	Any	Any	Any	None	Any	
Windows Remote Management - Compatibility Mode (HTTP-In)	Windows Remote Management (Compatibility)	Domain	Yes	Block	No	System	Any	Any	TCP	80	Any	Any	Any	Any	Any	None	Any	
Windows Remote Management - Compatibility Mode (HTTP-In)	Windows Remote Management (Compatibility)	Private, Public	Yes	Block	No	System	Any	Local subnet	TCP	80	Any	Any	Any	Any	Any	None	Any	
Windows Search	Windows Search	Domain, Private	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	Any	DESKTOP-AMT4E7R\Commistun	None	Microsoft.Windows.Search_cw5n1h2txyewy	
Windows Security	Windows Security	Domain, Private	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	Any	DESKTOP-AMT4E7R\Commistun	None	Microsoft.Windows.SecHealthUI_cw5n1h2txyewy	
Wireless Display (TCP-In)	Wireless Display	All	Yes	Block	No	%systemroot%\system32\WUDFHost.exe	Any	Any	TCP	Any	Any	Any	Any	NT AUTHORITY\USER MODE DRIVERS	Any	None	Any	
Wireless Display Infrastructure Back Channel (TCP-In)	Wireless Display	All	Yes	Block	No	%systemroot%\system32\CastSrv.exe	Any	Any	TCP	7250	Any	Any	Any	Any	Any	None	Any	
Wireless Portable Devices (SSDP-In)	Wireless Portable Devices	All	Yes	Block	No	%SystemRoot%\system32\svchost.exe	Any	Local subnet	UDP	1900	Any	Any	Any	Any	Any	None	Any	
Wireless Portable Devices (UPnP-In)	Wireless Portable Devices	All	Yes	Block	No	System	Any	Local subnet	TCP	2869	Any	Any	Any	Any	Any	None	Any	
WFD ASP Coordination Protocol (UDP-In)	WLAN Service - WFD Application Services Platform Coordination Protocol (Uses UDP)	All	Yes	Block	No	%systemroot%\system32\svchost.exe	Any	Local subnet	UDP	7235	7235	Any	Any	Any	Any	None	Any	
WFD Driver-only (TCP-In)	WLAN Service - WFD Services Kernel Mode Driver Rules	All	Yes	Block	No	System	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
WFD Driver-only (UDP-In)	WLAN Service - WFD Services Kernel Mode Driver Rules	All	Yes	Block	No	System	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
